date,keyword,value
2025-09-07,centellian24,0
2025-09-07,madeca cream,36
2025-09-14,centellian24,0
2025-09-14,madeca cream,23
2025-09-21,centellian24,0
2025-09-21,madeca cream,26
2025-09-28,centellian24,0
2025-09-28,madeca cream,39
2025-10-05,centellian24,0
2025-10-05,madeca cream,26
2025-10-12,centellian24,0
2025-10-12,madeca cream,24
2025-10-19,centellian24,0
2025-10-19,madeca cream,32
2025-10-26,centellian24,0
2025-10-26,madeca cream,35
2025-11-02,centellian24,0
2025-11-02,madeca cream,34
2025-11-09,centellian24,0
2025-11-09,madeca cream,41
2025-11-16,centellian24,0
2025-11-16,madeca cream,55
2025-11-23,centellian24,0
2025-11-23,madeca cream,69
2025-11-30,centellian24,0
2025-11-30,madeca cream,90
2025-12-07,centellian24,0
2025-12-07,madeca cream,63
2025-12-14,centellian24,0
2025-12-14,madeca cream,70
2025-12-21,centellian24,0
2025-12-21,madeca cream,85
2025-12-28,centellian24,0
2025-12-28,madeca cream,91
2026-01-04,centellian24,0
2026-01-04,madeca cream,58
2026-01-11,centellian24,0
2026-01-11,madeca cream,86
2026-01-18,centellian24,0
2026-01-18,madeca cream,54
2026-01-25,centellian24,0
2026-01-25,madeca cream,62
2026-02-01,centellian24,0
2026-02-01,madeca cream,66
2026-02-08,centellian24,0
2026-02-08,madeca cream,54
2026-02-15,centellian24,0
2026-02-15,madeca cream,55
2026-02-22,centellian24,0
2026-02-22,madeca cream,75
2026-03-01,centellian24,0
2026-03-01,madeca cream,56
2026-03-08,centellian24,0
2026-03-08,madeca cream,61
2026-03-15,centellian24,0
2026-03-15,madeca cream,58
2026-03-22,centellian24,0
2026-03-22,madeca cream,67
2026-03-29,centellian24,20
2026-03-29,madeca cream,84
2026-04-05,centellian24,34
2026-04-05,madeca cream,75
2026-04-12,centellian24,36
2026-04-12,madeca cream,84
2026-04-19,centellian24,25
2026-04-19,madeca cream,72
2026-04-26,centellian24,16
2026-04-26,madeca cream,78
2026-05-03,centellian24,16
2026-05-03,madeca cream,72
2026-05-10,centellian24,30
2026-05-10,madeca cream,80
2026-05-17,centellian24,29
2026-05-17,madeca cream,57
2026-05-24,centellian24,18
2026-05-24,madeca cream,55
2026-05-31,centellian24,15
2026-05-31,madeca cream,60
2026-06-07,centellian24,15
2026-06-07,madeca cream,57
2026-06-14,centellian24,0
2026-06-14,madeca cream,65
2026-06-21,centellian24,26
2026-06-21,madeca cream,95
2026-06-28,centellian24,16
2026-06-28,madeca cream,71
2026-07-05,centellian24,16
2026-07-05,madeca cream,83
2026-07-12,centellian24,0
2026-07-12,madeca cream,76
2026-07-19,centellian24,0
2026-07-19,madeca cream,87
2026-07-26,centellian24,0
2026-07-26,madeca cream,62
2026-08-02,centellian24,14
2026-08-02,madeca cream,64
2026-08-09,centellian24,0
2026-08-09,madeca cream,69
2026-08-16,centellian24,12
2026-08-16,madeca cream,95
2026-08-23,centellian24,6
2026-08-23,madeca cream,89
2026-08-30,centellian24,10
2026-08-30,madeca cream,100
2026-09-06,centellian24,10
2026-09-06,madeca cream,82
