ticker,company,period,scope,capacity,output,unit,basis,util_pct,util_source,rcept_no,note
192820,코스맥스,2019,미국,94770.0,37182.0,천개,연간(생산능력 연환산),39.2,계산,20200330003755,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2019,미국(NU-WORLD),115560.0,28178.0,천개,연간(생산능력 연환산),24.4,계산,20200330003755,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2019,전사(합계),1804420.0,758287.0,천개,연간(생산능력 연환산),42.0,계산,20200330003755,가동률 미공시(측정 불가라고 기재); 합계는 사업소 합산(내 계산)
192820,코스맥스,2019,중국(광저우),306000.0,91867.0,천개,연간(생산능력 연환산),30.0,계산,20200330003755,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2019,중국(상해),692000.0,294856.0,천개,연간(생산능력 연환산),42.6,계산,20200330003755,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2019,한국,596090.0,306204.0,천개,연간(생산능력 연환산),51.4,계산,20200330003755,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2020,미국,94770.0,38057.0,천개,연간(생산능력 연환산),40.2,계산,20210318000961,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2020,미국(NU-WORLD),115560.0,23598.0,천개,연간(생산능력 연환산),20.4,계산,20210318000961,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2020,전사(합계),1830691.0,830699.0,천개,연간(생산능력 연환산),45.4,계산,20210318000961,가동률 미공시(측정 불가라고 기재); 합계는 사업소 합산(내 계산)
192820,코스맥스,2020,중국(광저우),306000.0,102813.0,천개,연간(생산능력 연환산),33.6,계산,20210318000961,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2020,중국(상해),692000.0,336488.0,천개,연간(생산능력 연환산),48.6,계산,20210318000961,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2020,한국,622361.0,329743.0,천개,연간(생산능력 연환산),53.0,계산,20210318000961,가동률 미공시(측정 불가라고 기재)
192820,코스맥스,2020H1,미국,94770.0,21183.0,천개,생산능력:연환산 / 생산실적:반기누계,,,20200814001367,"생산능력은 연환산, 생산실적은 반기 누계라 가동률 직접 계산 불가"
192820,코스맥스,2020H1,미국(NU-WORLD),115560.0,15134.0,천개,생산능력:연환산 / 생산실적:반기누계,,,20200814001367,"생산능력은 연환산, 생산실적은 반기 누계라 가동률 직접 계산 불가"
192820,코스맥스,2020H1,전사(합계),1793080.0,461689.0,천개,생산능력:연환산 / 생산실적:반기누계,,,20200814001367,"생산능력은 연환산, 생산실적은 반기 누계라 가동률 직접 계산 불가; 합계는 사업소 합산(내 계산)"
