ts,chain,asof,target,dow,lead,panel,published,shows,seats,sold,fill
2026-08-12 10:15,CGV,2026-08-12,2026-08-12,수,0,20,20,60,7284,1235,0.1695
2026-08-12 10:15,CGV,2026-08-12,2026-08-13,목,1,20,20,52,5755,374,0.065
2026-08-12 10:15,CGV,2026-08-12,2026-08-14,금,2,20,17,44,5111,306,0.0599
2026-08-12 10:15,CGV,2026-08-12,2026-08-15,토,3,20,15,57,6730,1134,0.1685
2026-08-12 10:15,CGV,2026-08-12,2026-08-16,일,4,20,15,54,6465,719,0.1112
2026-08-12 10:15,롯데시네마,2026-08-12,2026-08-12,수,0,20,20,49,8086,803,0.0993
2026-08-12 10:15,롯데시네마,2026-08-12,2026-08-13,목,1,20,20,44,7302,310,0.0425
2026-08-12 10:15,롯데시네마,2026-08-12,2026-08-14,금,2,20,19,41,6721,586,0.0872
2026-08-12 10:15,롯데시네마,2026-08-12,2026-08-15,토,3,20,7,21,3637,320,0.088
2026-08-12 10:15,롯데시네마,2026-08-12,2026-08-16,일,4,20,7,20,3171,852,0.2687
2026-08-13 07:46,CGV,2026-08-13,2026-08-13,목,0,20,20,51,5660,745,0.1316
2026-08-13 07:46,CGV,2026-08-13,2026-08-14,금,1,20,20,51,6114,458,0.0749
2026-08-13 07:46,CGV,2026-08-13,2026-08-15,토,2,20,19,66,7789,1388,0.1782
2026-08-13 07:46,CGV,2026-08-13,2026-08-16,일,3,20,19,65,7697,713,0.0926
2026-08-13 07:46,CGV,2026-08-13,2026-08-17,월,4,20,17,58,6703,455,0.0679
2026-08-13 07:46,롯데시네마,2026-08-13,2026-08-13,목,0,20,20,44,7302,523,0.0716
2026-08-13 07:46,롯데시네마,2026-08-13,2026-08-14,금,1,20,20,43,7069,684,0.0968
2026-08-13 07:46,롯데시네마,2026-08-13,2026-08-15,토,2,20,15,49,7888,677,0.0858
2026-08-13 07:46,롯데시네마,2026-08-13,2026-08-16,일,3,20,14,51,7689,1023,0.133
2026-08-13 07:46,롯데시네마,2026-08-13,2026-08-17,월,4,20,12,38,6405,147,0.023
