date,day,ttv_views,ttv_likes,ttv_comments,byform_views,byform_likes,byform_comments,cns_views,cns_likes,total_views,total_comments
2026-07-22,37,707970,7251,671,1142548,2073,109,2053,34,1852571,780
2026-07-23,38,713758,7263,671,1142691,2076,109,2065,34,1858514,780
2026-07-24,39,721032,7273,670,1142927,2082,109,2080,34,1866039,779
2026-07-25,40,731156,7293,671,1143212,2086,109,2096,35,1876464,780
2026-07-27,42,747824,7319,672,1143745,2091,109,2122,36,1893691,781
2026-07-28,43,752821,7326,672,1143927,2092,109,2136,36,1898884,781
2026-07-29,44,759607,7336,673,1144112,2095,109,2157,37,1905876,782
2026-07-30,45,770027,7361,675,1144422,2097,109,2192,37,1916641,784
2026-07-31,46,775980,7373,676,1144670,2099,109,2217,37,1922867,785
2026-08-02,48,789079,7396,678,1145274,2106,109,2275,38,1936628,787
2026-08-03,49,793955,7405,679,1145447,2106,109,2300,38,1941702,788
2026-08-04,50,799905,7421,681,1145622,2105,109,2323,38,1947850,790
2026-08-07,53,816807,7457,683,1145993,2107,109,2377,38,1965177,792
2026-08-09,55,849057,7507,685,1146494,2110,109,2456,38,1998007,794
2026-08-10,56,856575,7521,685,1146608,2111,109,2484,38,2005667,794
2026-08-11,57,861937,7531,686,1146702,2109,109,2502,38,2011141,795
2026-08-13,59,871921,7548,687,1146832,2111,109,2542,38,2021295,796
2026-08-16,62,887307,7586,688,1147012,2113,109,2603,40,2036922,797
2026-08-17,63,899101,7610,689,1147200,2111,109,2635,40,2048936,798
