date,day,rank,title,chain,shows,chain_shows,show_share,screens,chain_screens,screen_share
2026-08-05,0,1,스파이더맨: 브랜드 뉴 데이,CGV,2430,5933,0.41,665,2165,0.307
2026-08-05,0,1,스파이더맨: 브랜드 뉴 데이,롯데시네마,1426,4040,0.353,442,1652,0.268
2026-08-05,0,1,스파이더맨: 브랜드 뉴 데이,메가박스,1416,3641,0.389,393,1321,0.298
2026-08-05,0,1,스파이더맨: 브랜드 뉴 데이,씨네Q,92,210,0.438,27,82,0.329
2026-08-05,0,1,스파이더맨: 브랜드 뉴 데이,기타,293,1036,0.283,139,724,0.192
2026-08-05,0,1,스파이더맨: 브랜드 뉴 데이,전체,5657,14860,0.381,1666,5944,0.28
2026-08-05,0,2,오디세이,CGV,2014,5933,0.339,635,2165,0.293
2026-08-05,0,2,오디세이,롯데시네마,1457,4040,0.361,497,1652,0.301
2026-08-05,0,2,오디세이,메가박스,1262,3641,0.347,386,1321,0.292
2026-08-05,0,2,오디세이,씨네Q,73,210,0.348,23,82,0.28
2026-08-05,0,2,오디세이,기타,229,1036,0.221,140,724,0.193
2026-08-05,0,2,오디세이,전체,5035,14860,0.339,1681,5944,0.283
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,CGV,656,5933,0.111,293,2165,0.135
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,롯데시네마,584,4040,0.145,246,1652,0.149
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,메가박스,377,3641,0.104,178,1321,0.135
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,씨네Q,21,210,0.1,13,82,0.159
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,기타,113,1036,0.109,94,724,0.13
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,전체,1751,14860,0.118,824,5944,0.139
2026-08-05,0,4,호프,CGV,440,5933,0.074,254,2165,0.117
2026-08-05,0,4,호프,롯데시네마,242,4040,0.06,168,1652,0.102
2026-08-05,0,4,호프,메가박스,370,3641,0.102,184,1321,0.139
2026-08-05,0,4,호프,씨네Q,13,210,0.062,8,82,0.098
2026-08-05,0,4,호프,기타,99,1036,0.096,76,724,0.105
2026-08-05,0,4,호프,전체,1164,14860,0.078,690,5944,0.116
2026-08-05,0,5,미니언즈 & 몬스터즈,CGV,127,5933,0.021,111,2165,0.051
2026-08-05,0,5,미니언즈 & 몬스터즈,롯데시네마,110,4040,0.027,99,1652,0.06
2026-08-05,0,5,미니언즈 & 몬스터즈,메가박스,72,3641,0.02,63,1321,0.048
2026-08-05,0,5,미니언즈 & 몬스터즈,씨네Q,4,210,0.019,4,82,0.049
2026-08-05,0,5,미니언즈 & 몬스터즈,기타,27,1036,0.026,25,724,0.035
2026-08-05,0,5,미니언즈 & 몬스터즈,전체,340,14860,0.023,302,5944,0.051
2026-08-06,1,1,스파이더맨: 브랜드 뉴 데이,CGV,2428,5904,0.411,674,2172,0.31
2026-08-06,1,1,스파이더맨: 브랜드 뉴 데이,롯데시네마,1457,4018,0.363,471,1686,0.279
2026-08-06,1,1,스파이더맨: 브랜드 뉴 데이,메가박스,1413,3567,0.396,388,1301,0.298
2026-08-06,1,1,스파이더맨: 브랜드 뉴 데이,씨네Q,91,210,0.433,27,79,0.342
2026-08-06,1,1,스파이더맨: 브랜드 뉴 데이,기타,286,978,0.292,134,688,0.195
2026-08-06,1,1,스파이더맨: 브랜드 뉴 데이,전체,5675,14677,0.387,1694,5926,0.286
2026-08-06,1,2,오디세이,CGV,2011,5904,0.341,645,2172,0.297
2026-08-06,1,2,오디세이,롯데시네마,1383,4018,0.344,475,1686,0.282
2026-08-06,1,2,오디세이,메가박스,1229,3567,0.345,384,1301,0.295
2026-08-06,1,2,오디세이,씨네Q,71,210,0.338,21,79,0.266
2026-08-06,1,2,오디세이,기타,217,978,0.222,134,688,0.195
2026-08-06,1,2,오디세이,전체,4911,14677,0.335,1659,5926,0.28
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,CGV,648,5904,0.11,288,2172,0.133
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,롯데시네마,568,4018,0.141,240,1686,0.142
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,메가박스,355,3567,0.1,170,1301,0.131
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,씨네Q,21,210,0.1,12,79,0.152
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,기타,106,978,0.108,91,688,0.132
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,전체,1698,14677,0.116,801,5926,0.135
2026-08-06,1,4,호프,CGV,435,5904,0.074,252,2172,0.116
2026-08-06,1,4,호프,롯데시네마,254,4018,0.063,174,1686,0.103
2026-08-06,1,4,호프,메가박스,366,3567,0.103,178,1301,0.137
2026-08-06,1,4,호프,씨네Q,14,210,0.067,7,79,0.089
2026-08-06,1,4,호프,기타,93,978,0.095,76,688,0.11
2026-08-06,1,4,호프,전체,1162,14677,0.079,687,5926,0.116
2026-08-06,1,5,미니언즈 & 몬스터즈,CGV,102,5904,0.017,92,2172,0.042
2026-08-06,1,5,미니언즈 & 몬스터즈,롯데시네마,103,4018,0.026,93,1686,0.055
2026-08-06,1,5,미니언즈 & 몬스터즈,메가박스,70,3567,0.02,64,1301,0.049
