date,day,adm,cum,screens,shows,rank,seat_rate,total_screens,total_shows,screen_share,show_share,seats,seat_sale,seat_share
2026-08-05,0,73165,100575,824,1751,3,0.2612,5942,14858,0.1387,0.1178,189443,0.386,0.099
2026-08-06,1,43744,144319,801,1698,3,0.161,5928,14679,0.1351,0.1157,183722,0.238,0.097
2026-08-07,2,41712,186055,822,1798,3,0.145,5848,15153,0.1406,0.1187,194095,0.215,0.099
2026-08-08,3,124186,310241,958,2216,3,0.3503,6016,15799,0.1592,0.1403,249267,0.498,0.122
2026-08-09,4,123565,433806,941,2164,3,0.3569,6021,15267,0.1563,0.1417,241212,0.512,0.122
2026-08-10,5,19410,453216,726,1509,3,0.0804,5394,13951,0.1346,0.1082,161788,0.12,0.089
2026-08-11,6,19207,472423,755,1509,3,0.0796,5589,14181,0.1351,0.1064,160814,0.119,0.087
2026-08-12,7,14977,487396,564,793,5,0.118,6336,15199,0.089,0.0522,82685,0.181,0.042
2026-08-13,8,12203,499599,545,754,5,0.1012,6363,15095,0.0857,0.05,78509,0.155,0.04
2026-08-14,9,14427,514026,582,790,5,0.1141,6577,15622,0.0885,0.0506,84168,0.171,0.042
2026-08-15,10,61156,575182,727,1232,3,0.3102,6700,16304,0.1085,0.0756,134767,0.454,0.064
